compound,Space Group,Band Gap (eV),Lattice Thermal Conductivity (W/m K),Hole mobility (cm^2 / V s),Electron mobility (cm^2 / V s),beta (p-type),beta (n-type),Number of Atoms per Unit Cell,density (g/cm^3),volume of unit cell (A^3),Volume per Atom (A^3),Bulk Modulus (GPa),Average Coordination Number
Ge2Na1O6Sc1,15,3.47,5.8,2.74,155.83,2.67,3.36,20,3.93,261.6,13.08,71.5,3.85
Ba1O3Pb1,74,0.2,3.23,16.37,38.16,16.29,1.63,10,7.9,165,16.5,96.9,6
Ba1O3Pb1,12,0.2,6.33,13.52,41.83,11.87,1.7,10,7.92,164.7,16.47,96.9,4.2
Ba1O3Pb1,140,0.03,2.22,6.49,204.94,7.96,3.17,10,7.94,164.2,16.42,98.3,10.3
Ba1O3Pb1,74,0.21,5.61,16.39,38.47,16.31,1.64,10,7.92,164.7,16.47,97,4.4
Cd1O2Rb2,60,1.32,2.06,0.22,109.26,0.84,4.97,20,4.73,443.2,22.16,35.1,3.95
K2O7W2,14,2.25,2.26,1.99,1.69,5.97,1.87,22,5.5,336.6,15.3,44.3,4.05
Ba3In2O6,139,0.86,10.41,29.59,303.42,11.45,3.63,11,6.17,198.5,18.04545455,87.1,3.64
Al1Na1O2,33,3.82,10.43,0.6,255.01,0.52,2.95,16,2.67,203.6,12.725,78.9,3.94
Al1Na1O2,166,4.75,16.79,1.49,413.5,0.61,1.92,4,3.49,39,9.75,130.7,6
Al4O7Sr1,15,3.76,17.24,1.4,237.02,0.36,2.79,24,3.16,323.3,13.47083333,103,3.42
Au1O1Rb1,139,1.64,1.53,0.17,7.06,0.49,2.19,12,6.61,300,25,24.6,3.5
La2O7Zr2,227,3.94,23.51,2.81,18.17,1.33,0.93,22,5.73,332,15.09090909,150,2.91
La2O7Zr2,227,0.24,24.88,4.87,315.25,1.62,2.86,22,5.95,319.2,14.50909091,159.3,2.91
K1O2Sc1,166,3.97,7.21,14.6,26.02,4.71,2.22,4,3.34,57.7,14.425,92.9,7.5
O3Rb2Ti1,64,3.91,1.58,0.25,1.76,3.26,2.04,24,3.52,503,20.95833333,28.3,7.17
Ca1Ge1O5Zr1,2,3.67,11.32,1.83,138.28,2.02,2.85,16,4.23,222.7,13.91875,78.7,3.38
Ca1O3Pb1,62,0.96,4.57,0.81,105.15,0.89,3.11,20,6.92,283.4,14.17,90.3,4
Ga2K6O6,12,2.65,3.05,0.15,62.48,0.54,2.96,14,3.01,259,18.5,35.4,4.14
Ge1O4Zr1,88,3.93,36.2,1.68,13.9,0.52,2.41,12,5.74,131.9,10.99166667,197.2,3.75
La2Mo1O6,121,3.22,9.03,3.2,0.19,5.26,0.21,9,5.16,151.3,16.81111111,65.1,3.56
Al2O11Si4,2,4.16,0.7,0.13,4.55,4.26,2.96,17,2.42,234.5,13.79411765,3.3,3
Ba3Ge1O1,62,0.39,1.63,5.69,8.8,7.23,1.72,20,5.17,643.3,32.165,35.9,4.65
Ba1O5Ti2,5,2.07,3.91,4.23,15.04,1.95,1.08,24,4.86,321,13.375,111.4,6.58
Ba1O5Ti2,12,2.07,3.79,4.13,14.82,1.93,1.07,24,4.86,321.1,13.37916667,111.4,6.92
Ba1O5Ti2,12,2.07,3.61,4.14,14.79,1.93,1.07,24,4.86,321.1,13.37916667,111.4,7.63
Au2O4Sr1,88,1.68,3.44,0.57,3.1,1.18,1.55,14,8.91,203.4,14.52857143,89.5,4.5
O13Rb2Ti6,12,2.92,6.3,4.27,0.73,3.9,0.82,21,3.85,287.3,13.68095238,111,5.1
Ba1Ca2Mg1O8Si2,147,5.02,5.63,0.99,352.25,1.23,3.22,14,3.96,178.7,12.76428571,100.7,5.57
Na1O6Si2Ti1,15,0.95,11.33,2.82,0.52,1.38,0.23,20,3.29,225.4,11.27,108,4
Na1O6Si2Ti1,2,0.96,11.79,0.94,0.51,0.3,0.23,20,3.28,225.5,11.275,108.1,3.95
O4Sn2Ti1,135,1.34,4.29,5.48,6.47,3.64,2.6,28,5.14,451.5,16.125,59.9,3.39
Hf1O3Sr1,62,4.63,10.2,0.91,93.49,0.63,6.08,20,7.36,283.3,14.165,148.6,3.9
Hf1O3Sr1,99,4.13,8.26,7.48,142.35,2.41,4.7,5,7.17,72.7,14.54,144.3,6.4
Hf1O3Sr1,221,4.13,3.93,13.19,97.27,5.12,3.8,5,7.18,72.7,14.54,154.8,12
Hf1O3Sr1,63,4.36,4.29,13.09,91.51,5.53,2.01,20,7.35,284,14.2,148.6,6.2
Hf1O3Sr1,74,4.37,12.28,21.03,105.97,9.86,1.71,10,7.35,142,14.2,149.2,4.4
Hf1O3Sr1,62,4.63,14.97,0.9,97.01,0.63,6.18,20,7.37,283.2,14.16,148.6,3.5
Hf1O3Sr1,140,4.49,17.3,9.25,58.64,5.94,2.76,10,7.34,142.1,14.21,145.3,3.9
Hf1O3Sr1,127,4.06,18.88,7.13,113.06,1.19,3.6,10,7.32,142.5,14.25,144.3,3.8
Hf1O3Sr1,221,4.13,3.93,13.23,100.27,5.13,3.84,5,7.18,72.7,14.54,154.8,12
O3Si1Zn1,148,3.61,53.56,2.51,870.52,1.88,3.26,10,5.03,93.4,9.34,173.2,3.4
O7Y2Zr2,227,2.89,8.19,4.28,103.27,1.47,1.75,22,5.1,307.7,13.98636364,155.4,4.95
Cd1Ga2O4,227,1.6,10.04,1.54,2450.9,1.65,6.29,14,6.28,167.1,11.93571429,154.5,4.57
Ca3O7Ti2,36,2.74,16.59,0.93,21.2,0.77,1.78,24,3.67,296.6,12.35833333,143.9,3.88
Ga1In1O7Zn4,194,0.96,10.59,16.68,2246.48,8.52,7.57,26,5.8,319.7,12.29615385,140.4,3.73
La1O3Y1,62,4.2,9.64,2.85,2.19,3.5,1.8,20,5.68,322.6,16.13,122.8,3.95
La1O3Y1,33,4.2,7.46,2.83,2.63,3.48,1.93,20,5.67,322.9,16.145,122.8,4.35
Ba2O8Si2Ti1,100,4.14,2.9,0.75,0.54,1.25,0.37,26,4.23,397.5,15.28846154,74.2,6.85
Ba2O7Si2Zn1,15,3.98,2.82,6.26,230.27,4.94,4.18,24,4.54,371.4,15.475,74,6.63
Ba1Cd1O2,62,0.97,3.39,2.95,407.4,2.23,5.33,16,6.62,282.8,17.675,76.1,4.56
O9Rb2Si3Sn1,176,3.8,2.85,1.79,90.98,1.93,3.09,30,3.86,445.2,14.84,66.7,6.67
Ba3Ga2Ge4O14,150,2.24,4.7,1.33,329.1,1.41,4.25,23,5.29,334.7,14.55217391,95.4,4.48
Ca1O3Sn1,225,1.44,5.32,15.27,2302.54,4.87,4.02,5,5.13,67,13.4,148.9,11
Ca1O3Sn1,148,2.92,30.25,0.68,366.49,0.92,2.86,10,4.98,138,13.8,117.3,3.4
Ca1O3Sn1,62,2.36,13.61,0.74,340.49,0.53,3.1,20,5.37,256,12.8,142,3.8
K1La1O2,166,3.88,4.11,0.49,49.11,0.95,1.5,4,4.5,77.5,19.375,59,6
Au1K3O1,221,0.62,0.85,0.2,21.12,1.12,7.25,5,3.68,148.8,29.76,18.5,12
Na4O4Ti1,2,3.27,3.83,0.28,51.47,0.81,2.17,18,2.57,263.4,14.63333333,50.3,4.83
Ca3O1Si1,62,0.24,2.76,171.87,156.87,8.95,5.75,20,2.59,422,21.1,58.5,10.25
Hf1O4Si1,141,5.69,28.52,5.04,3.69,0.41,1.1,12,6.67,134.6,11.21666667,206.3,3.92
Al2Ge2O7,15,3.41,15.81,3.08,408.53,2.17,3.83,22,3.96,261,11.86363636,105.4,3.14
Ba1Ge3O9Sn1,188,2.76,3.37,1.15,238.72,0.91,3.85,28,4.63,443,15.82142857,88.7,5.89
K2O2Pb1,2,1.92,1.11,0.18,4.21,1.2,2.1,20,4.51,467.4,23.37,18.1,4.5
O3Sn1Zn1,161,1.09,30.9,1.82,2830.17,0.62,5.87,10,6.57,117.3,11.73,164,3.6
O3Sn1Zn1,148,1.29,9.03,1.42,2437.44,1.29,6.32,10,6.48,119,11.9,138.4,4.8
O3,61,0.74,0.71,0.02,0.03,0.66,0.38,24,1.79,355.4,14.80833333,2.5,1.33
Ge2In2O7,12,1.83,23.92,1.18,1797.53,0.29,5.48,11,5.46,148.06,13.46,127.3,3.55
Ge2In2O7,12,1.83,21.55,1.21,1510.08,0.3,5.11,11,5.47,147.8,13.43636364,127.5,3.64
O7Pb1Ti3,11,2.18,11.15,11.03,3.75,4.42,2.3,22,5.45,281.9,12.81363636,128.9,3.73
Ca2Ga2O5,46,2.18,9.44,5.04,727.44,0.56,4.13,18,4.43,224.7,12.48333333,125.2,4.39
Ga4Ge1O8,12,2.03,14.6,1.91,1441.36,0.72,5.12,13,5.42,146.9,11.3,139.2,4
K2Mo3O10,15,3.21,1.06,0.07,0.1,0.49,1.73,30,3.33,524.8,17.49333333,11,5.43
Ca1Ge2O5,2,2.41,16.92,1.66,585.09,0.84,4.41,16,4.66,189.1,11.81875,104.4,3.31
Ca1Ge2O5,2,2.4,16.13,1.9,595.03,0.89,4.43,16,4.64,189.9,11.86875,104.3,3.38
Ca1Ge2O5,15,2.4,19.63,2.08,643.94,0.87,4.31,16,4.64,189.9,11.86875,112.3,2.56
Ca1Ge2O5,1,2.41,10.88,1.67,611.82,0.85,4.49,16,4.66,189.2,11.825,104.4,3.75
Ca1Ge2O5,15,2.42,8.97,2.08,641.98,0.87,4.31,16,4.65,189.6,11.85,112.2,4.19
Na1O2Y1,15,3.89,4.61,1.49,261.01,1.33,3.51,16,4.13,231.3,14.45625,81.2,5
Ba3Na1Nb1O6,167,3.23,2.44,1.55,10.04,2.73,3.45,22,5.44,380.9,17.31363636,81.1,8.64
Ba1O9Si3Sn1,188,3.74,4.74,0.93,128.05,0.35,2.48,28,3.98,403.9,14.425,105.1,5.46
Al1O3Sc1,62,4.95,29.42,10.29,6.86,0.54,2.29,20,4.1,194.3,9.715,201.1,3.85
Ba2O4Ti1,14,4.07,2.5,0.69,23.73,0.5,2.05,28,4.92,521.8,18.63571429,60.8,5.11
O14Si4Sr2Ti2,63,4.02,4.01,5.51,0.82,3.09,0.72,22,3.54,284.8,12.94545455,82.4,5.91
O4Si1Zn2,122,2.66,31.56,0.65,847.26,0.68,3.98,14,4.48,165.3,11.80714286,131.7,3.21
O4Si1Zn2,61,2.29,14.56,10.23,2141.61,0.72,6.09,28,5.58,265.2,9.471428571,194.5,3.89
O4Si1Zn2,74,2.09,7.67,4.05,906.72,0.57,4.94,28,5.13,288.7,10.31071429,152.8,4.54
O4Si1Zn2,14,2.24,4.58,1.17,212.96,1.29,5.16,28,4.27,346.3,12.36785714,57.8,3.39
O4Si1Zn2,227,2.35,15.85,13.05,1224.14,1.93,3.96,14,5.26,140.6,10.04285714,183.6,4.5
O4Si1Zn2,62,2.55,9.42,2.44,1081.41,1.54,5.86,28,4.8,308.4,11.01428571,126.8,3.79
Mg2O4Si1,74,4.51,11.21,1.32,461.13,0.29,3.07,28,3.38,276.1,9.860714286,154.5,4.54
Mg2O4Si1,139,3.54,39.67,45.77,575.35,4.35,2,7,3.57,65.5,9.357142857,182.2,4.57
Mg2O4Si1,12,4.51,11.05,1.32,578.38,0.29,3.36,28,3.38,276.1,9.860714286,154.4,4.57
Mg2O4Si1,12,4.62,10.85,1.68,366.52,0.33,2.84,14,3.12,149.7,10.69285714,109.4,4.57
Mg2O4Si1,55,4.47,9.73,4.96,809.33,0.98,3.76,14,3.69,126.6,9.042857143,133.7,5.07
Mg2O4Si1,10,4.5,6.46,1.25,418.45,0.8,4.08,28,3.09,302.6,10.80714286,94.3,4.46
Mg2O4Si1,62,4.67,8.76,4.13,530.9,0.55,3.85,28,3.15,296.8,10.6,116.8,4.36
Mg2O4Si1,227,4.8,21.87,0.74,628.18,0.53,2.61,14,3.47,134.5,9.607142857,174,4.5
Mg2O4Si1,12,4.23,6.96,4.78,238.76,4.4,3,14,3.03,154.3,11.02142857,80.1,4.57
Al2O5Si1,15,5.55,84.33,10.29,1111.63,2.28,2.97,16,3.87,139,8.6875,225.7,2.94
Al2O5Si1,63,5.46,28.9,16.72,912.65,1.64,2.7,16,3.54,151.9,9.49375,212.5,4.44
Ga1Na1O2,33,2.86,6.34,0.54,345.51,1.89,4.19,16,3.8,218.2,13.6375,72.3,4
Ba2O3Zn1,15,2.68,2.86,2.42,186.38,3.94,4.47,24,5.9,436.9,18.20416667,68.6,4.54
Na1O6Sc1Si2,15,5.11,12.4,3.09,138.38,0.49,2.24,20,3.05,239.9,11.995,98.4,3.8
Ba2Ge2Mg1O7,113,3.59,3.97,0.69,170.35,1.63,3.69,24,4.57,404.6,16.85833333,72.7,4.33
Hf2La2O7,227,4.24,18.36,3.09,0.52,1.54,0.5,22,7.62,325.3,14.78636364,156.4,2.91
Ba1Hf1O9Si3,188,4.68,6.06,1.83,94.52,0.98,2.38,28,4.38,412.5,14.73214286,100.5,4.21
Na4O12Ti5,143,2.81,11.14,0.77,1.51,0.5,0.98,21,3.54,245.5,11.69047619,128,4.33
Au2Ba1O4,88,1.6,2.51,0.62,0.76,1.24,0.9,14,8.86,223.2,15.94285714,84.7,5.5
O8Si1Sn6,186,1.82,2.13,0.29,94.48,1.15,23.09,30,5.09,566.5,18.88333333,33.3,2.13
O4Si1Sr2,62,4.38,4.04,3.96,218.48,1.72,4.29,28,4.4,403.9,14.425,73.5,4.21
O4Si1Sr2,14,4.47,4.06,0.67,256.93,0.78,4.24,28,4.39,404.9,14.46071429,80.8,4.54
Ga1In1O3,194,1.36,18.59,2.81,3148.53,1.43,5.95,10,6.46,119.6,11.96,166.9,4.2
Al2Ba1O4,182,3.94,3.84,0.7,197.25,0.89,2.82,14,3.93,215.6,15.4,83.9,6.57
Ba2O4Sn1,139,2.45,8.03,10.54,241.28,10.26,2.76,7,6.35,119.6,17.08571429,95,4.57
Al2O4Pb1,1,3.96,7.14,0.41,6.32,0.35,1.05,14,5.25,205.7,14.69285714,62.7,3.14
Al2O4Pb1,40,3.96,7.14,0.42,6.23,0.36,1.05,14,5.25,205.7,14.69285714,62.7,3.14
K1Na1O3Ti1,15,3.86,4.05,0.63,0.22,0.34,0.23,12,2.91,180,15,52.3,4.92
Ga4O7Sr1,15,2.44,9.73,1,276.13,0.41,3.86,24,4.5,353.5,14.72916667,90.2,3.42
O7Ti2Y2,227,3.06,37.84,31.69,24.91,10.55,1.74,22,4.7,272.6,12.39090909,179.2,2.91
Ba1Fe4O7,176,0.01,4.82,8.12,1.74,7.18,1.55,24,5.38,291.9,12.1625,148.6,6.63
Ba1Nb2O6,51,2.11,4.74,1.23,23.48,0.87,4.24,18,5.18,268.8,14.93333333,90.2,4.61
Ba1Nb2O6,14,2.56,3.18,10.38,6.14,3.76,2.29,18,5.28,263.7,14.65,101.4,7.94
Na2O1,225,1.89,6.89,0.12,150.25,0.49,2.12,3,2.36,43.7,14.56666667,45.4,5.33
Na2O6Si2Zn1,43,3.87,7.87,0.52,128.25,1.79,3.23,22,2.97,295,13.40909091,58.2,2.82
Na2O6Si2Zn1,15,3.62,9.88,5.53,148.31,2.48,3.08,22,2.91,301,13.68181818,65.6,2.77
O7Sr3Zr2,47,3.48,4.68,22.69,77.48,8.95,3.66,24,4.91,377,15.70833333,124.8,6
O7Sn2Sr3,63,2.17,11.17,3.12,243.47,3.5,3.33,24,5.76,352.9,14.70416667,118.2,3.5
Al1O2Rb1,227,3.37,3.07,1.29,177.17,0.83,1.99,8,3.59,133.6,16.7,91.3,15
O9Rb2Si3Ti1,176,3.45,2.81,0.78,0.55,1.36,1.57,30,3.45,430.2,14.34,63.7,8.77
Au1Na1O2,63,1.17,1.06,0.94,4.71,0.97,3.7,8,6.8,123.1,15.3875,24.8,6
Au1O2Y1,194,2.8,10.53,5.23,43.52,7.54,1.47,8,7.55,139.8,17.475,102.9,4
K2O3Sn2,146,1.19,1.28,96.52,13.11,4.26,3.84,7,3.9,155,22.14285714,24.6,6.86
K2O3Sn2,199,1.27,1.32,135.43,4.15,6.43,6.38,14,3.98,303.4,21.67142857,21.9,5.14
K2O3Sn2,166,1.19,1.33,98.65,13.11,4.3,3.84,7,3.9,155,22.14285714,24.6,6.29
Ca1O5Si1Sn1,2,3.2,11.84,0.67,258.13,0.3,3.2,16,4.38,202.3,12.64375,97.7,3.63
Ca1O5Si1Sn1,15,3.24,12.73,0.66,296.97,0.28,3.27,16,4.37,202.9,12.68125,101.5,3.63
Fe2K4O5,14,0.3,2.9,0.17,1.01,0.56,1.72,22,3.21,360,16.36363636,44.3,4.55
Co2O3Rb2,62,0.01,1.72,9.27,5.74,22.83,3.77,28,4.1,546.2,19.50714286,27.5,3.96
Cu1In1O8W2,15,1.31,6.72,3.17,2.11,3.3,1.4,24,7.7,290.8,12.11666667,98.5,3.33
Cd1Ge1O3,62,0.86,12.05,9.58,3877.8,0.76,8.34,20,7.18,215.5,10.775,175.1,3.95
Cd1Ge1O3,148,1.4,29.89,1.29,2367.05,1.83,6.16,10,6.52,118.7,11.87,141.4,3.4
Cd1Ge1O3,15,1.46,4.6,0.73,659.33,1.46,7.44,20,5.68,272.3,13.615,67.8,3.6
In1Na1O2,166,1.93,5.83,0.41,546.84,0.39,3.45,4,5.46,51.6,12.9,88.6,6
Ca1O4Ti2,63,0.2,13.52,7.34,7.33,1.92,1.92,14,4.21,157.5,11.25,166.6,5
O2Zn1,205,2.03,9.96,12.84,1.13,1.54,0.58,12,5.31,121.8,10.15,139.7,4.67
Hg1O2Rb2,139,1.99,1.37,0.47,4.46,2.3,1.42,5,5.2,128.9,25.78,21.4,4.4
Al2Ca2O5,46,3.57,10.09,6.39,325.6,0.51,2.46,18,3.41,208.5,11.58333333,138.8,5.11
Na1O2Sc1,166,4.41,10.75,1.27,9.6,0.46,1.54,4,3.36,49.4,12.35,95.2,6
Na2O13Ti6,12,3.16,7.51,0.81,0.98,1.25,1.35,21,3.33,270,12.85714286,92.8,4.29
Ge1O5Pb3,3,2.37,0.81,0.78,2.04,1.37,2.01,9,7.92,162.4,18.04444444,15.2,3.78
Ge1O5Pb3,4,2.32,1.01,0.65,8.16,2.6,3.57,18,7.98,322.2,17.9,18.6,2.39
La2Na2O10Ti3,139,2.39,8.32,1.99,28.48,1.24,1.2,17,4.7,221.6,13.03529412,117.1,4.41
Cd2O4Sn1,55,0.41,7.09,2.43,5513.6,1.9,10.45,14,7.29,185.7,13.26428571,131.1,4.5
Cd2Na14O9,147,1.4,2.98,0.32,230.26,1.69,4.72,25,2.98,384.5,15.38,48.6,5.12
O8,12,1.46,0.88,0.04,0.04,1.49,1.49,8,1.93,110.3,13.7875,4.5,1
Ba1O7Si2Zn2,36,3.33,7.64,1.44,252.16,0.49,3.87,24,4.13,351.1,14.62916667,81.6,3.58
K3O7Sc1Si2,194,3.65,4.26,4.59,98.05,1.14,1.95,26,2.81,390.8,15.03076923,96.3,8.31
K6O7Si2,14,3.53,2.45,0.47,91.78,2.63,3.62,30,2.52,530.9,17.69666667,39,6.57
Cr1Na1O8W2,13,0.22,6.39,0.31,0.29,0.33,0.32,24,6.58,288.2,12.00833333,87.1,2.92
Au1Ga1O2,194,0.05,12.36,36.72,570.61,11.8,3.93,8,9.91,100.1,12.5125,142.3,4
O3Pb1Sr1,62,0.8,6.16,11.72,48.82,12.86,2.07,20,7.43,306.4,15.32,104.2,3.8
Ba2Ge2O8Ti1,35,3.72,2.8,0.84,46.22,1.99,2.48,26,4.6,429.9,16.53461538,64.6,5.19
K4O7V2,12,3.38,2.04,0.21,0.18,0.32,0.3,13,2.59,237.7,18.28461538,29.8,6.31
Al1Ba1La1O4,19,4.29,9.21,2.06,0.94,2.9,2.11,28,5.63,433.6,15.48571429,99.8,3
O1Sn1,36,0.26,1.54,1.9,109.23,2.8,14.17,8,6.08,147.2,18.4,19.6,2.5
O1Sn1,129,0.23,1.19,1.42,90.67,2.23,11.76,4,6.11,73.2,18.3,18.4,4
Ba1O2,139,2.32,3.21,0.87,36.23,0.57,1.27,3,5.38,52.2,17.4,64.8,7.33
Ba1O2,139,2.32,3.21,0.87,36.62,0.57,1.28,3,5.38,52.2,17.4,64.8,7.33
Cd1In2O4,141,0.93,20.51,1.16,3070.22,2.05,7.99,14,6.67,202.1,14.43571429,126,3.14
Cd1In2O4,227,0.93,7.26,0.92,2496.52,1.55,7.31,14,6.65,202.83,14.48785714,126.5,4.57
O1Rb2,225,1.33,1.65,0.17,37.7,1.1,2.36,3,3.82,81.3,27.1,22.6,5.33
K1Na1O1,129,2.16,11.13,0.42,122.93,0.6,2.9,6,2.52,102.8,17.13333333,35.1,3.33
Hf1O3Pb1,221,2.33,3.11,4.74,847.51,2.17,10.38,5,9.83,73.2,14.64,157.5,12
Ca1Ga1La1O4,33,3.41,5.99,8.25,221.85,5.35,3.33,28,4.65,447,15.96428571,102.4,4.21
Ba1Ge1O3,19,3.51,2.4,0.67,97.72,2.16,3.97,20,4.81,356.5,17.825,47.5,4.5
Cd1O3Ti1,62,2.44,15.51,7.9,35.12,1.82,2.2,20,6,230.4,11.52,182.7,4
Cd1O3Ti1,62,2.44,16.15,7.95,33.99,1.82,2.17,20,6,230.5,11.525,182.7,3.95
Cd1O3Ti1,148,3.02,11.34,1.66,2.51,1.22,0.36,10,5.57,124.2,12.42,142.9,4.8
Cd1O3Ti1,33,2.44,15.51,7.86,35.21,1.81,2.2,20,6,230.4,11.52,182.7,4
Cu1K1Na2O2,107,1.8,3.51,1.34,18.04,3.32,1.34,6,2.88,104,17.33333333,38.1,5
O1Sr1,221,2.75,5.56,52.54,38.45,12.53,1.84,2,5.55,31,15.5,88.7,8
O1Sr1,225,3.28,11.75,4.18,53.12,1.07,2.96,2,4.88,35.3,17.65,84.4,6
Ge2K6O7,7,3.08,2.28,0.3,43.84,2.54,3.11,30,2.86,571.4,19.04666667,34.3,4.77
Ga2O4Zn1,227,2.33,11.95,1.17,2061.26,0.82,5.44,14,5.91,151.1,10.79285714,168.6,4.57
K2O6Si2Zn1,20,3.93,2.68,0.32,99.8,0.73,3.6,22,3,327.1,14.86818182,43.2,5.36
Al2O3,60,5.33,19.33,3.1,1416.68,0.3,3.5,20,3.96,171.2,8.56,230.2,4.8
Al2O3,13,5.9,35.01,4.14,858.73,0.81,2.28,10,3.88,87.3,8.73,230.6,4.8
Al2O3,12,4.46,71.73,9.95,850.07,1.29,2.55,10,3.51,96.4,9.64,183,3.6
Al2O3,167,5.9,35.01,4.06,884.64,0.8,2.3,10,3.88,87.3,8.73,230.6,4.8
Ge2Mg1O7Sr2,113,3.58,5.07,0.56,181.81,1.8,3.62,24,4.13,366.9,15.2875,74.4,4
Ge1Hf1O4,88,3.99,22.28,1.5,622.92,0.57,3.18,12,8.12,128.8,10.73333333,206.1,3.92
Al2O6Rb6,12,2.69,1.87,0.22,74.85,1.09,3.74,14,3.87,284.2,20.3,33,5.14
K2O3Pb1,36,1.27,2.27,0.11,37.27,0.27,2.79,12,4.79,231.4,19.28333333,37.1,4.25
K2O3Pb1,193,1.16,2.02,0.41,126.63,1.78,4.41,24,5.47,405.1,16.87916667,55.9,6.75
K2O3Pb1,62,1.26,1.69,0.21,40.92,0.86,3.54,24,4.81,460.1,19.17083333,36.5,5.33
Al2O4Sr1,4,4.15,6.86,2.22,247.42,1.75,3.83,28,3.45,395.9,14.13928571,77.9,3.71
K1Na1O2Zn1,14,1.79,3,0.78,223.26,0.97,4.64,20,3.38,313.8,15.69,48.9,4.8
O2Rb1Y1,166,3.66,5.52,0.89,125.87,1.05,1.9,4,4.75,72.2,18.05,73.5,6
O4Pb3,55,0.94,1.16,28.02,12.52,5.03,7.29,14,9.41,242,17.28571429,24.4,3.43
O4Pb3,55,1.2,1.64,0.87,43.09,2.07,4.93,28,8.44,539.4,19.26428571,37,3.39
O4Pb3,117,1.12,1.61,1.14,59.14,2.35,5.71,28,8.38,543.7,19.41785714,35.7,3.36
O4Pb3,135,1.12,1.57,1.15,58.2,2.35,5.65,28,8.38,543.2,19.4,35.9,3.43
Na1O4Si1Y1,33,4.2,5.91,4.88,213.27,4.27,3.23,28,3.51,386.1,13.78928571,91.5,4.39
O2Rb1Sc1,194,3.72,5.3,2.31,36.83,2,3.64,8,4.38,123.2,15.4,90.1,6
O2Rb1Sc1,166,3.57,5.69,1.45,47.81,1.07,3.26,4,4.37,61.7,15.425,90.2,7.25
O2Rb1Sc1,187,3.72,4.05,2.31,36.75,2,3.64,8,4.38,123.2,15.4,90.1,7.38
Na2O7Si2Zr1,2,4.56,6.9,0.73,116.5,0.44,3.31,24,3.21,316.1,13.17083333,58.3,3.08
In1La1O3,62,2.66,9.5,24,253.47,9.71,3.12,20,6.85,292.5,14.625,135.8,3.9
In2O3,167,0.99,35.39,2.52,4884.07,2.69,7.93,10,6.96,132.4,13.24,147.9,2.4
In2O3,60,0.8,6.55,1.32,6258.53,1.8,10.66,20,7.2,256,12.8,155.6,4.8
Mg3O8V2,64,3.24,9.35,6.19,1.3,2.07,2.22,26,3.38,297.1,11.42692308,107.8,4
O3Si1Sr1,15,4.61,3.52,0.64,93.92,1.18,2.89,30,3.54,460.6,15.35333333,69.4,5.13
Ge4O9Pb1,5,3.48,13.88,2.08,8.73,3.05,1.81,14,5.77,184.8,13.2,97.5,2.86
O2Si1,152,5.69,4.45,0.11,38.15,0.5,2.63,9,2.5,119.5,13.27777778,26,2.67
O2Si1,3,2.7,29.98,0.3,132.34,0.34,1.92,12,2.73,146.4,12.2,89.9,2.67
O2Si1,64,5.36,26.8,1.79,50.09,0.67,1.26,24,1.87,426.3,17.7625,84.8,2.67
