compound,Space Group,Band Gap (eV),Lattice Thermal Conductivity (W/m K),Hole mobility (cm^2 / V s),Electron mobility (cm^2 / V s),beta (p-type),beta (n-type),Number of Atoms per Unit Cell,density (g/cm^3),volume of unit cell (A^3),Volume per Atom (A^3),Bulk Modulus (GPa),Average Coordination Number
Ba1Na2O6Si2,4,4.19,3.05,0.37,107.82,0.36,3.46,22,3.45,323,14.68181818,52.3,4.91
La1O2Rb1,166,3.57,2.66,1.03,49.89,3,1.58,4,5.17,82.3,20.575,59.8,7.5
Ba1O9Si3Ti1,188,3.38,6.77,1.07,0.77,0.34,1.2,28,3.52,390.1,13.93214286,106.9,4.57
Ba2O4Si1,62,4.63,2.52,1.35,120.15,1.91,3.83,28,5.24,465.3,16.61785714,67.2,5.57
Ba1O1,225,2.09,7.1,14.01,43.22,9.2,3.33,2,5.75,44.3,22.15,68,6
Ba1O1,194,2.36,3.92,38.85,35.72,5.53,4.01,4,5.94,85.7,21.425,66.2,6
Ba1O1,129,3.05,1.22,0.46,30.14,2.06,3.65,4,5.91,86.2,21.55,18.1,4
Ba1Ga1La1O4,19,3.88,7.3,1.71,209.68,2.4,4.11,28,6.08,447.59,15.98535714,90.6,3.04
Na2O2Zn1,14,1.47,3.54,1.67,338.59,1.21,5.06,20,3.5,272.1,13.605,57.7,4.7
O2Rb2Sn1,19,2.24,0.97,0.64,0.84,1.13,3.75,20,4.17,512.8,25.64,13.8,4.15
Cd2O4Si1,227,1.04,9.87,10.47,1221.48,2.14,4.79,14,6.15,171.1,12.22142857,150.3,4.57
Cd2O4Si1,70,1.49,14.87,1.24,1077.89,1.21,6.02,14,5.75,183,13.07142857,101.1,2.21
K4O12Zr5,164,3.04,5.86,3.8,15.31,0.49,0.86,21,4.09,326.9,15.56666667,121.8,5.71
Al2O5Ti1,63,3.25,31.48,25.85,15.48,0.73,2.39,16,3.57,169,10.5625,177.8,3.94
Ba1Hg1O2,182,2.14,1.72,1.38,35.09,4.58,3.34,24,6.93,531.7,22.15416667,44.7,4.38
Ba1Hg1O2,166,2.23,4.86,0.45,18.56,0.68,1.49,4,6.16,99.8,24.95,41.7,4
Ga1In1O5Zn2,194,1.19,10.07,9.36,2688.82,5.92,7.12,18,5.96,220.2,12.23333333,146.8,4.22
La1O3Sc1,62,4,12.37,6.08,6.13,2.39,0.6,20,5.48,280.9,14.045,146,4
Ga4O8Ti1,12,2.58,16.08,1.87,92.48,0.68,1.63,13,5,151.1,11.62307692,139,4
Al2K6O6,12,2.94,3.26,0.26,65.41,0.89,2.69,14,2.55,250.4,17.88571429,37.3,4.5
Ga2O3,167,2.43,16.52,2.2,2713.77,0.58,5.02,10,6.19,100.6,10.06,196.3,4.8
Ga2O3,12,2.01,20.56,1.06,2292.91,0.5,5.4,10,5.68,109.5,10.95,153.8,4
Ca3Ge1O1,62,0.24,2.32,220.06,137.09,11.34,6.26,20,3.25,426.3,21.315,56.7,11.9
Ca1O3Si1,139,3.54,6.27,79.01,1826.98,10.48,4.09,20,4.11,187.7,9.385,214.6,11.85
Ca1O3Si1,127,3.61,19.98,21.71,949.99,1.68,2.54,10,4.13,93.5,9.35,215.2,5.6
Ca1O3Si1,140,3.68,20.03,21.47,869.7,2.23,2.45,10,4.11,93.8,9.38,214.7,5.6
Ca1O3Si1,2,4.83,9.2,0.74,148.26,0.63,2.62,30,2.83,408.6,13.62,89,3.77
Ca1O3Si1,62,3.73,8.27,35.86,656.43,2.55,2.72,20,4.11,187.7,9.385,213.9,7.6
Ca1O3Si1,221,3.47,9.54,34.76,1063.56,3.78,2.12,5,4.11,46.9,9.38,217,12
Ca1O3Si1,15,4.7,10.49,2.47,109.16,2.87,2.62,30,2.84,407.7,13.59,76.3,2.33
Ca1O3Si1,74,3.72,23.81,18.11,767.6,1.05,2.34,10,4.11,93.8,9.38,214.2,5.2
Ca1O3Si1,204,3.58,6.27,61.66,1783.01,9.49,4.05,20,4.11,187.5,9.375,214.7,11.85
Ge1K4O4,2,2.82,2.51,0.18,79.11,0.6,3.47,18,2.83,343.5,19.08333333,33.8,4.56
Mg1Na2O4Si1,7,3.8,9.74,0.7,201.12,0.59,2.82,16,2.59,208.2,13.0125,72.1,3.88
Na2O7Ti3,11,3.27,8.35,0.6,1.65,1.19,0.89,24,3.28,305.5,12.72916667,89,3.88
Hg1O2,61,0.18,1.49,3.44,23.76,3.8,8.23,12,8.36,184.7,15.39166667,26.4,1.83
Al2Cd1O4,227,2.7,14.79,5.16,981.27,1.79,3.64,14,5.03,152.2,10.87142857,172.9,4.57
Au1O1Rb3,221,0.25,0.76,0.39,23.94,1.48,7.7,5,4.43,176,35.2,19.5,12
O7Sr3Ti2,139,2.19,4.32,22.32,48.68,7.78,2.36,12,4.84,161.5,13.45833333,136.3,9.58
Ca2O4Si1,139,4.35,8.63,20.64,141.77,3.63,1.31,7,3.76,76.1,10.87142857,152.1,8
Ca2O4Si1,186,4.19,6.97,0.9,157.3,0.32,2.49,14,3.04,188.2,13.44285714,77.9,4.57
Ca2O4Si1,14,4.72,7.65,0.64,218.01,0.62,3.19,28,3.24,353.3,12.61785714,91.5,3.96
Ca2O4Si1,164,4.18,5.54,1.72,197.15,1.14,2.53,14,3.07,186.3,13.30714286,86.3,5.71
Ca2O4Si1,62,4.23,6.43,4.31,129.27,4.46,2.48,28,2.91,393.6,14.05714286,87.4,4.43
Ca1Ga2O4,62,3,6.05,1.86,1558.66,1.61,5.96,28,5.42,298.7,10.66785714,161.9,5.46
K6O7Ti2,14,3.4,2.61,0.3,37.41,2.49,2.86,30,2.43,604.8,20.16,31.1,4.03
K6O7Ti2,7,3.4,2.35,0.3,36.22,2.49,2.83,30,2.43,604.5,20.15,31.1,4.6
Ba1O9Si4,188,4.35,5.9,1.52,153.35,0.35,2.21,28,3.68,355.4,12.69285714,131.3,5.93
O2Pb1,136,0.01,11.2,4.65,14.46,1.21,1.9,6,9,88.2,14.7,108.4,4
K4O4Pb1,2,1.69,1.81,0.18,16.83,1.82,2.25,18,3.62,392.1,21.78333333,30.1,4.83
O4Rb4Sn1,2,2.17,1.54,0.19,37.63,0.84,3.48,18,4.11,423.8,23.54444444,27.6,4.83
O3Y2,62,3.08,8.35,1.85,62.14,0.83,1.69,20,5.49,273.3,13.665,128.8,4.25
O3Y2,12,4.11,10.07,3.6,159.01,0.91,2.08,15,5.1,220.7,14.71333333,132.9,4.53
O3Y2,164,3.89,14.87,16.75,215.94,0.63,1.76,5,5.16,72.6,14.52,126.7,5.2
O3Y2,12,4.11,11.82,7.57,162.6,2.46,2.09,15,5.09,220.8,14.72,132.9,4.27
O4Si1Ti1,88,2.59,76.64,3,0.98,0.59,0.57,12,4.21,110.4,9.2,194.7,2.58
O4Si1Ti1,63,1.98,30.26,5.22,5.95,1.06,0.56,12,3.38,137.4,11.45,103.6,1.92
O4Si1Ti1,141,2.78,107.15,9.82,1.41,0.41,0.57,12,3.83,121.5,10.125,210.3,2.58
Au5O2Rb7,71,0.83,0.66,0.19,17.15,0.76,4.58,14,5.77,464.7,33.19285714,13.1,8.36
Ca3O9Si3,2,4.74,6.83,0.97,180.61,0.88,3.53,30,2.98,388.6,12.95333333,70,3.6
O9Si3Sr3,15,4.61,3.13,0.64,96.43,1.18,2.92,30,3.54,460.7,15.35666667,69.4,6.3
O9Si3Sr3,2,4.37,3.44,1.51,163.95,1.83,3.99,30,3.7,440.5,14.68333333,63.4,4.63
O9Si3Sr3,5,4.61,3.9,0.64,92.95,1.18,2.88,30,3.54,460.6,15.35333333,69.4,4.6
Ge1O1Sr3,62,0.44,4.19,38.26,61.32,7.67,3.09,20,4.42,528.4,26.42,43.8,3.4
Ge1O3Zn1,148,2.09,28.71,0.87,1940.6,0.48,5.22,10,5.98,103.4,10.34,155.4,3.6
Ge1O3Zn1,161,1.35,52.36,3.28,3261.37,0.73,5.81,10,6.21,99.5,9.95,181.4,2.4
Ge1La2Mg1O6,146,3.98,8.01,6.23,0.32,2.76,0.51,10,6.43,121.6,12.16,145.3,5.3
Mg1O7Si2Sr2,113,4.51,3.79,1.3,185.64,1.28,3.09,24,3.58,341.5,14.22916667,85.3,6.46
